"Product Name
If the same product has multiple packaging types, add a new row for each.
(Only for main products or raw materials purchased for use)","Category - Compulsory
Group or type of the product
","Base UOM
The smallest unit used in recipes, such as grams (g) or milliliters (ml).
For products used as whole units (e.g., bottled water), you may select “bottle.”

(Only one unit can be selected from the dropdown.)","Product Code
Must be unique
(Except for items with the same product name)","TAX RATE (Mandatory)","IS MENU","Packaging UOM
The unit of the packaging purchased from the supplier, used for stock counting or sales (for the central kitchen). 
","Packaging (Unit)
(Do not modify)","Unit Conversion
Used to specify how many units of the Base UOM equal 1 unit of the Packaging UOM.
For example, 1 bottle of oil = 750 ml.","Selling Price
(For Central Kitchen only)","Packaging Description
Additional information for orders , for Central Kitchen Only
(Provide if necessary)","Branches

Note:
Assign the product to branch inventory; can be assigned to more than one branch (if applicable) use comma to separate it","Product (Description)","Group / Tag
Used to filter products outside the main category; multiple tags can be added (separated by commas)","","","","","","","","","","","",""
"Kewpie Spread","Sauce","G (Gram)","SA006","NT 0%","No","PKT (Packet)","1","310","","","","","","","","","","","","","","","","",""
"Kewpie Style","Sauce","G (Gram)","SA007","NT 0%","No","CTN (Carton)","1","6000","","","","","","","","","","","","","","","","",""
"Kewpie Style","Sauce","G (Gram)","SA008","NT 0%","No","PKT (Packet)","1","1000","","","","","","","","","","","","","","","","",""
"Soy Sauce Gourmet","Sauce","ML (Milliliter)","SA009","NT 0%","No","CTN (Carton)","1","180","","","","","","","","","","","","","","","","",""
"Samyang Buldak Sauce","Sauce","G (Gram)","SA010","NT 0%","No","CTN (Carton)","1","4800","","","","","","","","","","","","","","","","",""
"Samyang Buldak Sauce","Sauce","G (Gram)","SA011","NT 0%","No","BOT (Bot)","1","200","","","","","","","","","","","","","","","","",""
"Tomyam Paste","Raw Material","G (Gram)","RMT01","NT 0%","No","TIN (Tin)","1","3200","","","","","","","","","","","","","","","","",""
"Tomato Puree","Raw Material","G (Gram)","RMT02","NT 0%","No","CTN (Carton)","1","15000","","","","","","","","","","","","","","","","",""
"Tomato Puree","Raw Material","G (Gram)","RMT03","NT 0%","No","TIN (Tin)","1","2500","","","","","","","","","","","","","","","","",""
"Tomato Chop","Raw Material","G (Gram)","RMT04","NT 0%","No","CTN (Carton)","1","15300","","","","","","","","","","","","","","","","",""
"Tomato Chop","Raw Material","G (Gram)","RMT05","NT 0%","No","TIN (Tin)","1","2550","","","","","","","","","","","","","","","","",""
"Kicap Mahsuri Ala Korea","Sauce","ML (Milliliter)","SA012","NT 0%","No","BOTTLE (Bottle)","1","410","","","","","","","","","","","","","","","","",""
"Kicap Pekat","Sauce","G (Gram)","SA013","NT 0%","No","BOTTLE (Bottle)","1","2500","","","","","","","","","","","","","","","","",""
"Siracha","Sauce","ML (Milliliter)","SA014","NT 0%","No","BOTTLE (Bottle)","1","280","","","","","","","","","","","","","","","","",""
"Serbuk Ajishio","Seasoning","G (Gram)","SE001","NT 0%","No","PKT (Packet)","1","80","","","","","","","","","","","","","","","","",""
"Ajinomoto","Seasoning","G (Gram)","SE002","NT 0%","No","PKT (Packet)","1","1000","","","","","","","","","","","","","","","","",""
"Santan Kara","Raw Material","ML (Milliliter)","RMM07","NT 0%","No","CTN (Carton)","1","12000","","","","","","","","","","","","","","","","",""
"Santan Kara","Raw Material","ML (Milliliter)","RMM08","NT 0%","No","PKT (Packet)","1","1000","","","","","","","","","","","","","","","","",""
